fecha_mes,tpm_prom,tpm_cierre,ipc,imacec,tasa_desempleo,dolar_prom,dolar_cierre,libra_cobre_prom,libra_cobre_cierre
2013-01-01,5.0,5.0,1.577965321,86.554672664635,6.119549592693,472.6686363636363,471.4,3.65112492062052,3.65112492062052
2013-02-01,5.0,5.0,1.304911635,82.285195359712,6.354761938598,472.3445,473.3,3.66074571350812,3.66074571350812
2013-03-01,5.0,5.0,1.703502833,92.915157208564,6.4261089083845,472.484,472.54,3.47586863830173,3.47586863830173
2013-04-01,5.0,5.0,1.472745895,91.368569088713,6.5390100414664,472.1372727272728,471.54,3.26742266170734,3.26742266170734
2013-05-01,5.0,5.0,1.388182892,90.698739135295,6.5412356813197,479.5828571428571,492.8,3.27913000090719,3.27913000090719
2013-06-01,5.0,5.0,2.155705242,88.646666078708,6.2605406935358,502.886,503.86,3.17701623877347,3.17701623877347
2013-07-01,5.0,5.0,2.224083237,85.498049116008,5.8831519808406,504.9622727272727,514.34,3.12663521727297,3.12663521727297
2013-08-01,5.0,5.0,2.288652953,88.96484131586,5.8489625959424,512.5885714285714,511.65,3.25785176449242,3.25785176449242
2013-09-01,5.0,5.0,2.004025209,85.273491618431,5.8604966913638,504.57,502.97,3.2484033384741,3.2484033384741
2013-10-01,4.897727272727272,4.75,1.738996817,92.312526870442,5.9526644251095,500.8063636363636,508.58,3.26079107321056,3.26079107321056
2013-11-01,4.65,4.5,2.448889962,94.526531734956,5.8648368756726,519.25,528.19,3.20529801324503,3.20529801324503
2013-12-01,4.5,4.5,2.838074806,96.980609650914,5.7817319689281,529.4505,523.76,3.26723668692733,3.26723668692733
2014-01-01,4.5,4.5,2.839350376,88.078671663367,6.2314665991056,537.0295454545454,547.22,3.30894039735099,3.30894039735099
2014-02-01,4.4,4.25,3.217484018,84.838081379971,6.1846947292971,554.4085,563.32,3.24419395808764,3.24419395808764
2014-03-01,4.107142857142857,4.0,3.5049060952732,95.263987189245,6.4964041476347,563.8433333333332,550.53,3.02450784722852,3.02450784722852
2014-04-01,4.0,4.0,4.331577051,92.838728367733,6.1441471565352,554.6409523809523,560.56,3.02586410233149,3.02586410233149
2014-05-01,4.0,4.0,4.739017557,92.54806051706,6.324242958052,555.402,548.04,3.1225074843509,3.1225074843509
2014-06-01,4.0,4.0,4.314826847,89.942043284048,6.5178319122478,553.0633333333333,550.6,3.0872267077928,3.0872267077928
2014-07-01,3.875,3.75,4.500899992,86.087121980501,6.5941218073472,558.2081818181819,570.51,3.22258005987481,3.22258005987481
2014-08-01,3.625,3.5,4.54280838,89.666893555672,6.8264777631324,579.052,593.28,3.17542864918806,3.17542864918806
