actor,topico_modelo,peso_medio,peso_total,n_dominante,ranking
Esteban Jadresic Marinovic,tema_nmf_07,0.039921454857280825,3.4731665725834318,0,12
Esteban Jadresic Marinovic,tema_nmf_06,0.021384238298503482,1.860428731969803,0,13
Esteban Jadresic Marinovic,tema_nmf_11,0.010646545401295898,0.926249449912743,0,14
Felipe Jaque,tema_nmf_08,0.2862334248448527,5.724668496897054,11,1
Felipe Jaque,tema_nmf_02,0.11007891943020084,2.201578388604017,1,2
Felipe Jaque,tema_nmf_03,0.10931778801580767,2.1863557603161534,3,3
Felipe Jaque,tema_nmf_13,0.0962827523845055,1.92565504769011,2,4
Felipe Jaque,tema_nmf_07,0.09307320188104226,1.8614640376208451,0,5
Felipe Jaque,tema_nmf_10,0.07182604223782474,1.4365208447564948,1,6
Felipe Jaque,tema_nmf_12,0.05802218089353793,1.1604436178707587,1,7
Felipe Jaque,tema_nmf_14,0.0436337638346247,0.872675276692494,1,8
Felipe Jaque,tema_nmf_01,0.03231991049176555,0.646398209835311,0,9
Felipe Jaque,tema_nmf_09,0.030074676424858154,0.6014935284971631,0,10
Felipe Jaque,tema_nmf_11,0.029033804969394804,0.5806760993878961,0,11
Felipe Jaque,tema_nmf_05,0.01926636448636824,0.38532728972736474,0,12
Felipe Jaque,tema_nmf_06,0.013544469288349856,0.2708893857669971,0,13
Felipe Jaque,tema_nmf_04,0.00729270081686703,0.1458540163373406,0,14
Felipe Larraín Bascuñán,tema_nmf_06,0.1618080280294337,9.061249569648288,9,1
Felipe Larraín Bascuñán,tema_nmf_01,0.13734184212741796,7.691143159135406,19,2
Felipe Larraín Bascuñán,tema_nmf_02,0.11800200256341516,6.608112143551248,10,3
Felipe Larraín Bascuñán,tema_nmf_09,0.11530501488444947,6.4570808335291705,8,4
Felipe Larraín Bascuñán,tema_nmf_07,0.10278997415325607,5.75623855258234,7,5
Felipe Larraín Bascuñán,tema_nmf_05,0.0783876258727851,4.389707048875965,2,6
Felipe Larraín Bascuñán,tema_nmf_08,0.07041091406764793,3.9430111877882843,0,7
Felipe Larraín Bascuñán,tema_nmf_13,0.054694807367357046,3.0629092125719946,0,8
Felipe Larraín Bascuñán,tema_nmf_10,0.0431065104985742,2.4139645879201552,1,9
Felipe Larraín Bascuñán,tema_nmf_03,0.041219573302385425,2.308296104933584,0,10
Felipe Larraín Bascuñán,tema_nmf_14,0.037126886674264156,2.0791056537587926,0,11
Felipe Larraín Bascuñán,tema_nmf_12,0.0327698413191547,1.835111113872663,0,12
Felipe Larraín Bascuñán,tema_nmf_11,0.004800615357096213,0.2688344599973879,0,13
Felipe Larraín Bascuñán,tema_nmf_04,0.002236363782762914,0.12523637183472316,0,14
Gloria Peña Tapia,tema_nmf_01,0.4409999631349295,0.881999926269859,1,1
Gloria Peña Tapia,tema_nmf_02,0.2490351625829037,0.4980703251658074,1,2
Gloria Peña Tapia,tema_nmf_04,0.1222961076474507,0.2445922152949014,0,3
Gloria Peña Tapia,tema_nmf_07,0.09284872329050137,0.18569744658100273,0,4
Gloria Peña Tapia,tema_nmf_05,0.0442122256838027,0.0884244513676054,0,5
Gloria Peña Tapia,tema_nmf_06,0.022948313533627453,0.045896627067254905,0,6
Gloria Peña Tapia,tema_nmf_09,0.022912452153629116,0.04582490430725823,0,7
Gloria Peña Tapia,tema_nmf_14,0.002031504181858628,0.004063008363717256,0,8
Gloria Peña Tapia,tema_nmf_13,0.0019764523554408114,0.003952904710881623,0,9
Gloria Peña Tapia,tema_nmf_10,0.0007390954358559984,0.0014781908717119967,0,10
Gloria Peña Tapia,tema_nmf_03,0.0,0.0,0,11
