ngram,n_palabras,ocurrencias,intervenciones,reuniones
de acuerdo con,3,547,456,113
julio,1,547,340,103
cree que,2,543,420,99
debilidad,1,542,405,121
levemente,1,541,439,126
del consumo,2,541,409,116
hacia el,2,541,409,125
proyeccion de,2,540,450,124
subir,1,538,377,116
la sesion,2,537,519,132
pesar,1,537,455,127
trayectoria de,2,537,410,124
anteriores,1,535,446,127
el proximo,2,535,432,118
tercer trimestre,2,535,357,109
eso,1,534,435,86
octubre,1,534,318,106
herrera,1,533,455,66
la ultima reunion,3,533,440,130
primas,1,533,425,110
presiones inflacionarias,2,533,413,125
todos,1,532,480,128
trabajo,1,532,434,122
probablemente,1,531,455,119
en segundo,2,530,504,128
todavia,1,530,439,118
baja en,2,530,430,120
2008,1,529,379,97
febrero,1,529,302,88
alla,1,528,448,124
mas alla,2,528,448,124
la minuta,2,528,399,124
impulso,1,528,395,121
el dia,2,527,486,131
curso,1,526,429,125
informe de,2,526,367,131
exposicion,1,525,512,131
razones,1,525,457,125
en 25 puntos,3,525,384,92
cierre,1,523,389,121
las opciones,2,522,489,132
lo anticipado,2,522,386,113
grado de,2,521,432,116
en 25 puntos base,4,521,382,92
alza en,2,519,428,126
en relacion con,3,518,455,110
hacer,1,518,445,117
en el horizonte,3,518,433,131
de estados unidos de,4,518,381,102
ello se,2,517,466,130
esperada,1,517,432,126
financiero,1,517,432,124
adelante,1,517,422,114
cierto,1,516,434,123
el senor ministro,3,516,354,77
continuan,1,515,422,126
reserva,1,515,381,101
liquidez,1,515,336,94
por el lado,3,514,391,120
mantencion,1,514,376,114
inflacion subyacente,2,513,423,126
en los precios,3,512,434,126
la produccion,2,512,345,120
presenta,1,511,433,121
mostrando,1,510,395,126
las exportaciones,2,510,345,117
miguel,1,508,377,87
del ultimo,2,506,429,126
considerando,1,506,404,121
el riesgo,2,506,393,123
imacec,1,506,380,115
datos de,2,505,422,114
de la tpm,3,505,362,102
colocaciones,1,505,308,108
dicha,1,504,443,121
luis oscar,2,504,438,60
luis oscar herrera,3,504,438,60
oscar,1,504,438,60
oscar herrera,2,504,438,60
fuerza,1,504,424,125
percepcion,1,504,408,120
que la tasa,3,503,426,126
base en,2,503,373,117
en este sentido,3,501,425,102
este sentido,2,501,425,102
la parte,2,501,374,117
estimulo,1,501,369,108
varios,1,500,434,128
de diciembre,2,500,334,93
america latina,2,500,327,114
latina,1,500,327,114
significativo,1,499,440,126
senor luis,2,499,424,77
deterioro,1,498,366,103
de mayo,2,498,297,84
dan cuenta de,3,497,427,114
adicional,1,496,434,120
estaria,1,496,426,127
considera que,2,496,423,118
haber,1,495,447,128
dentro,1,495,421,125
en la reunion,3,495,397,118
diferencia,1,494,444,126
de capital,2,493,351,120
plano,1,493,345,131
holguras,1,493,344,115
agradece la,2,492,491,109
ambito,1,492,427,122
da cuenta,2,492,412,110
mostrado,1,492,379,124
entonces,1,490,437,119
consejero senor manuel,3,490,404,58
menor que,2,490,385,120
de marzo,2,490,334,89
vial,1,489,423,49
consejero senor manuel marfan,4,489,403,58
partir,1,489,402,128
debiera,1,489,360,114
posible,1,488,430,127
encuesta de,2,488,331,117
en parte,2,487,411,126
crecimiento de la,3,487,407,122
fuentes,1,487,363,72
federal,1,487,360,102
finalmente,1,486,443,121
joaquin,1,484,420,48
joaquin vial,2,484,420,48
sorpresas,1,484,372,125
responde,1,483,469,119
que podria,2,483,447,125
el precio de,3,483,384,122
las economias desarrolladas,3,483,346,100
el nivel,2,481,420,125
con todo,2,481,413,128
corbo,1,480,397,35
ipcx1,1,480,288,91
estabilidad,1,479,408,124
vision,1,478,393,117
sorpresa,1,478,368,116
la reserva,2,478,362,100
sera,1,477,407,120
las perspectivas de,3,477,373,121
de 25 puntos,3,477,343,107
han sido,2,476,378,121
de las economias,3,476,373,108
encuentra,1,475,424,124
resalta,1,475,390,66
lo proyectado,2,475,366,118
un aumento de,3,475,363,116
ano pasado,2,473,404,110
el consejero senor manuel,4,473,393,58
los indicadores de,3,473,371,122
exhiben,1,473,347,96
de mayor,2,472,411,126
claramente,1,472,399,125
el efecto,2,472,397,120
de normalizacion,2,472,313,83
componentes,1,471,378,117
un mes,2,471,363,112
creditos,1,471,316,111
desde la ultima,3,469,400,128
primera,1,468,428,123
el empleo,2,468,363,122
de ramon,2,468,355,117
ramon,1,468,355,117
de 25 puntos base,4,468,336,106
en doce,2,468,324,113
pueden,1,467,409,123
economia chilena,2,467,348,117
la economia chilena,3,467,348,117
puntos base en,3,467,340,115
en doce meses,3,467,323,113
