anio,topico_humano,n_intervenciones,n_hawkish,n_dovish,n_neutral,proporcion_hawkish,proporcion_dovish,proporcion_neutral,tono_neto_general,balance_direccional,cobertura_direccional,score_hd_continuo_medio
2012,mercados_financieros,76.0,0.0,0.0,76.0,0.0,0.0,1.0,0.0,,0.0,-0.022655484732597275
2012,opciones_tpm,39.0,0.0,0.0,39.0,0.0,0.0,1.0,0.0,,0.0,-0.009807670046763318
2012,otros,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,-0.1323842519840947
2012,politica_fiscal,11.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,,0.0,-0.016164157848497483
2012,riesgos,22.0,0.0,1.0,21.0,0.0,0.045454545454545456,0.9545454545454546,-0.045454545454545456,-1.0,0.045454545454545456,-0.03875812094089684
2013,actividad_interna,30.0,0.0,0.0,30.0,0.0,0.0,1.0,0.0,,0.0,-0.016922328773540895
2013,acuerdo_comunicado,215.0,0.0,41.0,174.0,0.0,0.19069767441860466,0.8093023255813954,-0.19069767441860466,-1.0,0.19069767441860466,-0.16381006279564397
2013,apertura_cierre,12.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,,0.0,-0.001424149993273423
2013,debate,160.0,0.0,1.0,159.0,0.0,0.00625,0.99375,-0.00625,-1.0,0.00625,-0.012047983255602576
2013,decision_tpm,30.0,0.0,3.0,27.0,0.0,0.1,0.9,-0.1,-1.0,0.1,-0.11577405054843655
2013,escenario_internacional,149.0,1.0,6.0,142.0,0.006711409395973154,0.040268456375838924,0.9530201342281879,-0.03355704697986577,-0.7142857142857143,0.04697986577181208,-0.04716624273879712
2013,inflacion,31.0,0.0,3.0,28.0,0.0,0.0967741935483871,0.9032258064516129,-0.0967741935483871,-1.0,0.0967741935483871,-0.08645622670984243
2013,mercado_laboral,42.0,0.0,0.0,42.0,0.0,0.0,1.0,0.0,,0.0,-0.039552582048876385
2013,mercados_financieros,91.0,0.0,1.0,90.0,0.0,0.01098901098901099,0.989010989010989,-0.01098901098901099,-1.0,0.01098901098901099,-0.04374335593186697
2013,opciones_tpm,48.0,0.0,3.0,45.0,0.0,0.0625,0.9375,-0.0625,-1.0,0.0625,-0.06918474055770105
2013,politica_fiscal,8.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,,0.0,-0.008013458986961784
2014,actividad_interna,18.0,0.0,0.0,18.0,0.0,0.0,1.0,0.0,,0.0,-0.014597144828743532
2014,acuerdo_comunicado,203.0,1.0,72.0,130.0,0.0049261083743842365,0.35467980295566504,0.6403940886699507,-0.3497536945812808,-0.9726027397260274,0.35960591133004927,-0.26657386541272093
2014,apertura_cierre,13.0,0.0,1.0,12.0,0.0,0.07692307692307693,0.9230769230769231,-0.07692307692307693,-1.0,0.07692307692307693,-0.0436610952884879
2014,debate,154.0,0.0,2.0,152.0,0.0,0.012987012987012988,0.987012987012987,-0.012987012987012988,-1.0,0.012987012987012988,-0.023950699752889118
2014,decision_tpm,33.0,0.0,14.0,19.0,0.0,0.42424242424242425,0.5757575757575758,-0.42424242424242425,-1.0,0.42424242424242425,-0.29111754022175057
2014,escenario_internacional,119.0,0.0,4.0,115.0,0.0,0.03361344537815126,0.9663865546218487,-0.03361344537815126,-1.0,0.03361344537815126,-0.04676920778934463
2014,inflacion,28.0,0.0,2.0,26.0,0.0,0.07142857142857142,0.9285714285714286,-0.07142857142857142,-1.0,0.07142857142857142,-0.0685902885656239
2014,mercado_laboral,34.0,0.0,2.0,32.0,0.0,0.058823529411764705,0.9411764705882353,-0.058823529411764705,-1.0,0.058823529411764705,-0.046787326194397905
2014,mercados_financieros,93.0,0.0,4.0,89.0,0.0,0.043010752688172046,0.956989247311828,-0.043010752688172046,-1.0,0.043010752688172046,-0.06263530931041375
2014,opciones_tpm,52.0,0.0,6.0,46.0,0.0,0.11538461538461539,0.8846153846153846,-0.11538461538461539,-1.0,0.11538461538461539,-0.07634405165174325
2014,politica_fiscal,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,-0.009438504052704995
2015,actividad_interna,40.0,0.0,0.0,40.0,0.0,0.0,1.0,0.0,,0.0,-0.01985579529652457
2015,acuerdo_comunicado,140.0,18.0,20.0,102.0,0.12857142857142856,0.14285714285714285,0.7285714285714285,-0.014285714285714285,-0.05263157894736842,0.2714285714285714,-0.0320399836476789
2015,apertura_cierre,17.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,,0.0,-0.002627655276162211
2015,debate,167.0,0.0,0.0,167.0,0.0,0.0,1.0,0.0,,0.0,-0.00753280698716878
2015,decision_tpm,42.0,5.0,6.0,31.0,0.11904761904761904,0.14285714285714285,0.7380952380952381,-0.023809523809523808,-0.09090909090909091,0.2619047619047619,-0.09416872083946627
2015,escenario_internacional,136.0,0.0,1.0,135.0,0.0,0.007352941176470588,0.9926470588235294,-0.007352941176470588,-1.0,0.007352941176470588,-0.021073714238815988
2015,inflacion,39.0,0.0,0.0,39.0,0.0,0.0,1.0,0.0,,0.0,-0.007803651858204274
2015,mercado_laboral,71.0,0.0,0.0,71.0,0.0,0.0,1.0,0.0,,0.0,-0.010003380945011678
2015,mercados_financieros,108.0,2.0,2.0,104.0,0.018518518518518517,0.018518518518518517,0.9629629629629629,0.0,0.0,0.037037037037037035,-0.02763346163996574
2015,opciones_tpm,45.0,1.0,2.0,42.0,0.022222222222222223,0.044444444444444446,0.9333333333333333,-0.022222222222222223,-0.3333333333333333,0.06666666666666667,-0.013451042113481367
2015,otros,10.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,,0.0,-0.011294091165088557
2015,politica_fiscal,5.0,0.0,1.0,4.0,0.0,0.2,0.8,-0.2,-1.0,0.2,-0.08990164388573975
2015,riesgos,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,0.004620495881270226
