meeting_id,fecha,anio,n_intervenciones,n_hawkish,n_dovish,n_neutral,proporcion_hawkish,proporcion_dovish,proporcion_neutral,tono_neto_general,balance_direccional,cobertura_direccional,score_hd_continuo_medio
RPM-2012-11-13,2012-11-13,2012,76.0,0.0,1.0,75.0,0.0,0.013157894736842105,0.9868421052631579,-0.013157894736842105,-1.0,0.013157894736842105,-0.026956520035297273
RPM-2012-12-13,2012-12-13,2012,57.0,0.0,1.0,56.0,0.0,0.017543859649122806,0.9824561403508771,-0.017543859649122806,-1.0,0.017543859649122806,-0.0309972524134677
RPM-2013-01-17,2013-01-17,2013,73.0,0.0,0.0,73.0,0.0,0.0,1.0,0.0,,0.0,-0.01847634913854542
RPM-2013-02-14,2013-02-14,2013,84.0,0.0,2.0,82.0,0.0,0.023809523809523808,0.9761904761904762,-0.023809523809523808,-1.0,0.023809523809523808,-0.02779269147178791
RPM-2013-03-14,2013-03-14,2013,65.0,1.0,1.0,63.0,0.015384615384615385,0.015384615384615385,0.9692307692307692,0.0,0.0,0.03076923076923077,-0.03737777736539935
RPM-2013-04-11,2013-04-11,2013,71.0,0.0,2.0,69.0,0.0,0.028169014084507043,0.971830985915493,-0.028169014084507043,-1.0,0.028169014084507043,-0.04312255375849777
RPM-2013-05-16,2013-05-16,2013,60.0,0.0,4.0,56.0,0.0,0.06666666666666667,0.9333333333333333,-0.06666666666666667,-1.0,0.06666666666666667,-0.082558614688311
RPM-2013-06-13,2013-06-13,2013,77.0,0.0,5.0,72.0,0.0,0.06493506493506493,0.935064935064935,-0.06493506493506493,-1.0,0.06493506493506493,-0.07433680059043765
RPM-2013-07-11,2013-07-11,2013,76.0,0.0,6.0,70.0,0.0,0.07894736842105263,0.9210526315789473,-0.07894736842105263,-1.0,0.07894736842105263,-0.0904681472579213
RPM-2013-08-13,2013-08-13,2013,67.0,0.0,4.0,63.0,0.0,0.05970149253731343,0.9402985074626866,-0.05970149253731343,-1.0,0.05970149253731343,-0.08163242781118916
RPM-2013-09-12,2013-09-12,2013,72.0,0.0,4.0,68.0,0.0,0.05555555555555555,0.9444444444444444,-0.05555555555555555,-1.0,0.05555555555555555,-0.06156279320504421
RPM-2013-10-17,2013-10-17,2013,51.0,0.0,10.0,41.0,0.0,0.19607843137254902,0.803921568627451,-0.19607843137254902,-1.0,0.19607843137254902,-0.12652938778928804
RPM-2013-11-19,2013-11-19,2013,56.0,0.0,12.0,44.0,0.0,0.21428571428571427,0.7857142857142857,-0.21428571428571427,-1.0,0.21428571428571427,-0.1886346695073591
RPM-2013-12-12,2013-12-12,2013,64.0,0.0,8.0,56.0,0.0,0.125,0.875,-0.125,-1.0,0.125,-0.09739818865079788
RPM-2014-01-16,2014-01-16,2014,53.0,0.0,11.0,42.0,0.0,0.20754716981132076,0.7924528301886793,-0.20754716981132076,-1.0,0.20754716981132076,-0.16083945281765272
RPM-2014-02-18,2014-02-18,2014,73.0,0.0,10.0,63.0,0.0,0.136986301369863,0.863013698630137,-0.136986301369863,-1.0,0.136986301369863,-0.1369153191235057
RPM-2014-03-13,2014-03-13,2014,72.0,0.0,12.0,60.0,0.0,0.16666666666666666,0.8333333333333334,-0.16666666666666666,-1.0,0.16666666666666666,-0.10349453467796997
RPM-2014-04-17,2014-04-17,2014,86.0,0.0,6.0,80.0,0.0,0.06976744186046512,0.9302325581395349,-0.06976744186046512,-1.0,0.06976744186046512,-0.07119438960372877
